date,Plate.SN,well,DIV,treatment,dose,units,file.name,meanfiringrate,burst.per.min,mean.isis,per.spikes.in.burst,mean.dur,mean.IBIs,nAE,nABE,ns.n,ns.peak.m,ns.durn.m,ns.percent.of.spikes.in.ns,ns.mean.insis,ns.durn.sd,ns.mean.spikes.in.ns,r,mi,wllq,wllq_notes
20140827,MW1007-100,C1,9,Deltamethrin,0,uM,ON_20140827_MW1007-100_09_00_001.h5,1.733413879,4.256,0.061741778,48.32164286,0.744571429,30.311,15,14,319,9.78369906,0.088897574,24.67876201,2.785534591,0.043559781,18.12225705,0.165350668,0.005618148,1,
20140827,MW1007-100,C2,12,Deltamethrin,0.03,uM,ON_20140827_MW1007-100_12_00_001.h5,1.528820124,4.55625,0.028248398,76.2865,0.3845,17.2038125,16,16,195,11.98974359,0.128841028,31.66023166,4.567525773,0.076183564,35.74358974,0.333773076,0.012537257,1,
20140827,MW1007-100,C2,5,Deltamethrin,0.03,uM,ON_20140827_MW1007-100_05_00_001.h5,0.393055695,0.285,0.044668718,31.56,0.317,80.896,4,1,0,NA,NA,0,NA,NA,NA,0.022328516,0,1,
20140827,MW1007-100,C2,7,Deltamethrin,0.03,uM,ON_20140827_MW1007-100_07_00_001.h5,0.694520124,1.516,0.052917808,57.845,0.642153846,48.11661538,15,13,16,13.25,0.262762897,6.393861893,54.04666667,0.061417076,37.5,0.119689599,0.001711329,1,
20140827,MW1007-100,C2,9,Deltamethrin,0.03,uM,ON_20140827_MW1007-100_09_00_001.h5,1.271324191,2.9325,0.036682494,68.7099375,0.5653125,24.997125,16,16,137,10.12408759,0.127161257,19.81209373,6.447426471,0.094178117,26.47445255,0.289382264,0.00876359,1,
20140827,MW1007-100,C3,12,Deltamethrin,0.1,uM,ON_20140827_MW1007-100_12_00_001.h5,1.735334105,5.28,0.035504041,75.13292857,0.467357143,17.87328571,15,14,142,10.17605634,0.174374587,20.90749989,6.235815603,0.07399418,34.49295775,0.275582009,0.010558677,1,
20140827,MW1007-100,C3,5,Deltamethrin,0.1,uM,ON_20140827_MW1007-100_05_00_001.h5,1.120667065,2.364,0.072260932,33.259,0.4115,48.5565,5,4,11,7.545454545,0.125091991,2.44695087,70.92,0.050141632,11.63636364,0.027997845,0.000114471,1,
20140827,MW1007-100,C3,7,Deltamethrin,0.1,uM,ON_20140827_MW1007-100_07_00_001.h5,0.72793819,1.894285714,0.046645616,63.8657,0.506,32.7678,14,10,19,12.26315789,0.202085422,6.529769665,49.18611111,0.065608755,31.63157895,0.115775095,0.000855381,1,
20140827,MW1007-100,C3,9,Deltamethrin,0.1,uM,ON_20140827_MW1007-100_09_00_001.h5,1.078575455,3.081428571,0.032564315,69.54966667,0.410916667,27.65358333,14,12,31,12.41935484,0.144511271,13.87835473,29.15333333,0.033902478,61.38709677,0.257242334,0.004539634,1,
20140827,MW1007-100,C4,12,Deltamethrin,0.3,uM,ON_20140827_MW1007-100_12_00_001.h5,0.899524209,3.257142857,0.036262058,69.8348,0.3526,27.2671,14,10,29,12.79310345,0.121923235,11.05281567,30.71071429,0.014397491,43.5862069,0.133385966,0.001744352,1,
20140827,MW1007-100,C4,5,Deltamethrin,0.3,uM,ON_20140827_MW1007-100_05_00_001.h5,0.547500195,0.255,0.070721368,9.207,0.636,67.703,4,1,0,NA,NA,0,NA,NA,NA,0.009068703,2.85E-07,1,
20140827,MW1007-100,C4,7,Deltamethrin,0.3,uM,ON_20140827_MW1007-100_07_00_001.h5,0.541890141,1.488,0.049643028,55.79342857,0.422428571,44.12957143,10,7,19,10.31578947,0.196776316,8.857534783,45.175,0.046089759,23.78947368,0.121517978,0.001237659,1,
20140827,MW1007-100,C4,9,Deltamethrin,0.3,uM,ON_20140827_MW1007-100_09_00_001.h5,0.480319254,1.641428571,0.047071464,65.53690909,0.385818182,35.06781818,14,11,22,13.90909091,0.132668843,16.94611753,39.67857143,0.024945242,47.31818182,0.185147245,0.001762181,1,
20140827,MW1007-100,C5,12,Deltamethrin,1,uM,ON_20140827_MW1007-100_12_00_001.h5,2.240741737,4.824,0.01944045,84.38913333,0.2832,24.4726,15,15,51,10.78431373,0.168787631,8.43146957,17.473,0.061671818,50.11764706,0.229631691,0.004780635,1,
20140827,MW1007-100,C5,5,Deltamethrin,1,uM,ON_20140827_MW1007-100_05_00_001.h5,0.935555888,0.6,0.107301006,19.995,0.7055,76.1235,3,2,0,NA,NA,0,NA,NA,NA,0.002823495,3.09E-08,1,
20140827,MW1007-100,C5,7,Deltamethrin,1,uM,ON_20140827_MW1007-100_07_00_001.h5,0.57974493,2.441538462,0.0476997,57.17175,0.3585,37.74175,13,8,10,10.7,0.186164683,3.04379038,90.16111111,0.057047128,21.2,0.038777324,0.000324837,1,
20140827,MW1007-100,C5,9,Deltamethrin,1,uM,ON_20140827_MW1007-100_09_00_001.h5,0.870400075,3.064285714,0.033651709,75.41357143,0.380857143,32.27971429,14,14,23,13.2173913,0.164475301,11.30285508,38.93181818,0.024231011,54.39130435,0.204271525,0.002265372,1,
20140827,MW1007-100,C6,12,Deltamethrin,3,uM,ON_20140827_MW1007-100_12_00_001.h5,0.590085732,1.283076923,0.022995246,59.944,0.256916667,65.06583333,13,12,9,14.66666667,0.158881173,7.582464658,84.64375,0.033756366,59,0.126474709,0.001055768,1,
20140827,MW1007-100,C6,5,Deltamethrin,3,uM,ON_20140827_MW1007-100_05_00_001.h5,1.178889308,5.388,0.060035865,45.701,0.303666667,26.79233333,5,3,0,NA,NA,0,NA,NA,NA,0.002541239,8.63E-06,1,
20140827,MW1007-100,C6,7,Deltamethrin,3,uM,ON_20140827_MW1007-100_07_00_001.h5,0.417038001,1.26,0.037133497,66.33066667,0.293166667,41.51416667,12,6,5,9.2,0.202583333,1.521077792,203.3875,0.018172591,14,0.022409205,1.44E-05,1,
20140827,MW1007-100,C6,9,Deltamethrin,3,uM,ON_20140827_MW1007-100_09_00_001.h5,0.97185548,2.14,0.025785889,76.88418182,0.309272727,41.20309091,12,11,15,11.4,0.238643519,5.356806628,59.02142857,0.047461914,37.93333333,0.139009601,0.001654286,1,
20140827,MW1007-100,C7,12,Deltamethrin,10,uM,ON_20140827_MW1007-100_12_00_001.h5,0.184848567,0.12,0.040154483,44.033,0.175,43.225,11,1,0,NA,NA,0,NA,NA,NA,0.008445413,0,1,
20140827,MW1007-100,C7,5,Deltamethrin,10,uM,ON_20140827_MW1007-100_05_00_001.h5,0.112777818,0,NA,0,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,0.001057327,0,1,
20140827,MW1007-100,C7,7,Deltamethrin,10,uM,ON_20140827_MW1007-100_07_00_001.h5,0.223778295,0.042,NA,0,NA,NA,10,0,0,NA,NA,0,NA,NA,NA,0.006052294,2.45E-06,1,
20140827,MW1007-100,C7,9,Deltamethrin,10,uM,ON_20140827_MW1007-100_09_00_001.h5,0.179762576,0.45,0.049050195,47.11385714,0.294571429,83.62485714,14,7,14,13.14285714,0.121697266,10.86956522,67.03846154,0.017192085,17.85714286,0.098745158,0,1,
20140827,MW1007-100,C8,12,Deltamethrin,30,uM,ON_20140827_MW1007-100_12_00_001.h5,0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,
