"","DOP","date","Chemical","Dosage","Group_ID","Endpoint","value"
"5224","27","4/16/2024","Glyphosate","Control","1_T002516_14","longestDistFromInitSite_mean_neuron",524.090476190476
"5225","29","4/18/2024","Glyphosate","Control","1_T002516_14","longestDistFromInitSite_mean_neuron",477.505882352941
"5226","8","3/28/2024","Glyphosate","Control","1_T002516_14","longestDistFromInitSite_mean_neuron",262.5
"5227","13","4/2/2024","Glyphosate","1","1_T002516_15","longestDistFromInitSite_mean_neuron",85
"5228","20","4/9/2024","Glyphosate","1","1_T002516_15","longestDistFromInitSite_mean_neuron",324.733333333333
"5229","22","4/11/2024","Glyphosate","1","1_T002516_15","longestDistFromInitSite_mean_neuron",276.366666666667
"5230","27","4/16/2024","Glyphosate","1","1_T002516_15","longestDistFromInitSite_mean_neuron",588.244444444444
"5231","29","4/18/2024","Glyphosate","1","1_T002516_15","longestDistFromInitSite_mean_neuron",351.988235294118
"5232","6","3/26/2024","Glyphosate","1","1_T002516_15","longestDistFromInitSite_mean_neuron",464.1
"5233","15","4/4/2024","Glyphosate","1","1_T002516_15","longestDistFromInitSite_mean_neuron",NA
"5234","15","4/4/2024","Glyphosate","3","1_T002516_16","longestDistFromInitSite_mean_neuron",212.1
"5235","20","4/9/2024","Glyphosate","3","1_T002516_16","longestDistFromInitSite_mean_neuron",144.3
"5236","22","4/11/2024","Glyphosate","3","1_T002516_16","longestDistFromInitSite_mean_neuron",246.45
"5237","27","4/16/2024","Glyphosate","3","1_T002516_16","longestDistFromInitSite_mean_neuron",402.8625
"5238","29","4/18/2024","Glyphosate","3","1_T002516_16","longestDistFromInitSite_mean_neuron",475.072727272727
"5239","6","3/26/2024","Glyphosate","3","1_T002516_16","longestDistFromInitSite_mean_neuron",112.1
"5240","8","3/28/2024","Glyphosate","3","1_T002516_16","longestDistFromInitSite_mean_neuron",118.133333333333
"5241","13","4/2/2024","Glyphosate","3","1_T002516_16","longestDistFromInitSite_mean_neuron",NA
"5242","15","4/4/2024","Glyphosate","10","1_T002516_17","longestDistFromInitSite_mean_neuron",142.5
"5243","20","4/9/2024","Glyphosate","10","1_T002516_17","longestDistFromInitSite_mean_neuron",424.516666666667
"5244","22","4/11/2024","Glyphosate","10","1_T002516_17","longestDistFromInitSite_mean_neuron",251.783333333333
"5245","27","4/16/2024","Glyphosate","10","1_T002516_17","longestDistFromInitSite_mean_neuron",490.325
"5246","29","4/18/2024","Glyphosate","10","1_T002516_17","longestDistFromInitSite_mean_neuron",320.2
"5247","8","3/28/2024","Glyphosate","10","1_T002516_17","longestDistFromInitSite_mean_neuron",138.6
"5248","20","4/9/2024","Glyphosate","30","1_T002516_18","longestDistFromInitSite_mean_neuron",277.325
"5249","22","4/11/2024","Glyphosate","30","1_T002516_18","longestDistFromInitSite_mean_neuron",127.225
"5250","27","4/16/2024","Glyphosate","30","1_T002516_18","longestDistFromInitSite_mean_neuron",165.646153846154
"5251","29","4/18/2024","Glyphosate","30","1_T002516_18","longestDistFromInitSite_mean_neuron",444.511111111111
"5252","13","4/2/2024","Glyphosate","30","1_T002516_18","longestDistFromInitSite_mean_neuron",NA
"5253","29","4/18/2024","Loperamide","1","1_T002516_19","longestDistFromInitSite_mean_neuron",119.25
"5254","15","4/4/2024","Loperamide","Control","1_T002516_20","longestDistFromInitSite_mean_neuron",78.3
"5255","20","4/9/2024","Loperamide","Control","1_T002516_20","longestDistFromInitSite_mean_neuron",425.085714285714
"5256","22","4/11/2024","Loperamide","Control","1_T002516_20","longestDistFromInitSite_mean_neuron",127.471428571429
"5257","27","4/16/2024","Loperamide","Control","1_T002516_20","longestDistFromInitSite_mean_neuron",564.8
"5258","29","4/18/2024","Loperamide","Control","1_T002516_20","longestDistFromInitSite_mean_neuron",497.605882352941
"5259","8","3/28/2024","Loperamide","Control","1_T002516_20","longestDistFromInitSite_mean_neuron",117.4
"5260","6","3/26/2024","Loperamide","Control","1_T002516_20","longestDistFromInitSite_mean_neuron",NA
"5261","13","5/7/2024","Glyphosate","0.3","1_M05357_1","longestDistFromInitSite_mean_neuron",537.75
"5262","15","5/9/2024","Glyphosate","0.3","1_M05357_1","longestDistFromInitSite_mean_neuron",494.544444444444
"5263","20","5/14/2024","Glyphosate","0.3","1_M05357_1","longestDistFromInitSite_mean_neuron",467.694117647059
"5264","22","5/16/2024","Glyphosate","0.3","1_M05357_1","longestDistFromInitSite_mean_neuron",455.758333333333
"5265","27","5/21/2024","Glyphosate","0.3","1_M05357_1","longestDistFromInitSite_mean_neuron",276.010526315789
"5266","29","5/23/2024","Glyphosate","0.3","1_M05357_1","longestDistFromInitSite_mean_neuron",342.208333333333
"5267","8","5/2/2024","Glyphosate","0.3","1_M05357_1","longestDistFromInitSite_mean_neuron",206.9
"5268","6","4/30/2024","Glyphosate","0.3","1_M05357_1","longestDistFromInitSite_mean_neuron",NA
"5269","13","5/7/2024","Glyphosate","Control","1_M05357_2","longestDistFromInitSite_mean_neuron",542.233333333333
"5270","15","5/9/2024","Glyphosate","Control","1_M05357_2","longestDistFromInitSite_mean_neuron",448.925
"5271","20","5/14/2024","Glyphosate","Control","1_M05357_2","longestDistFromInitSite_mean_neuron",582.744444444444
"5272","22","5/16/2024","Glyphosate","Control","1_M05357_2","longestDistFromInitSite_mean_neuron",604.8625
"5273","27","5/21/2024","Glyphosate","Control","1_M05357_2","longestDistFromInitSite_mean_neuron",415.715
"5274","29","5/23/2024","Glyphosate","Control","1_M05357_2","longestDistFromInitSite_mean_neuron",578.962962962963
"5275","6","4/30/2024","Glyphosate","Control","1_M05357_2","longestDistFromInitSite_mean_neuron",158.5
"5276","8","5/2/2024","Glyphosate","Control","1_M05357_2","longestDistFromInitSite_mean_neuron",239
